,Player,Team_x,ShootsCatches_x,DOB,BirthCity,StateProvince,Country,Nationality,HeightInches,WeightPounds,DraftYear,DraftRound,DraftPickNumber,FirstSeason,HOF,GamesPlayed_x,Wins_x,Losses_x,Ties_x,OvertimeLosses_x,Shutouts_x,Season,Team_y,ShootsCatches_y,GamesPlayed_y,GamesStarted,Wins_y,Losses_y,Ties_y,OvertimeLosses_y,ShotsAgainst,Saves,GoalsAgainst,SavePct,GoalsAgainstAvg,TimeOnIce,Shutouts_y,GoalsScored,Assists,Points,PenaltyMinutes
30,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2022-23,CAR,L,8,8,5,3,,0,201,179,22,0.891,2.72,485:49,0,0,0,0,0
31,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2002-03,CHI,L,6,5,0,3,2,,125,107,18,0.856,4,270:14,0,0,0,0,0
32,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2018-19,OTT,L,50,47,17,27,,4,1676,1513,163,0.903,3.51,2785:11,2,0,2,2,0
33,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2016-17,OTT,L,40,40,25,11,,4,1247,1155,92,0.926,2.28,2421:19,5,0,1,1,0
34,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2014-15,OTT,L,35,35,14,13,,8,1134,1047,87,0.923,2.49,2092:31,3,0,0,0,4
35,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2021-22,BUF,L,31,31,17,12,,2,945,848,97,0.897,3.12,1867:15,0,0,1,1,0
36,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2022-23,BUF,L,10,9,5,4,,0,321,294,27,0.916,2.87,565:22,0,0,1,1,0
37,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2011-12,OTT,L,63,60,33,22,,6,1917,1752,165,0.914,2.83,3492:18,3,0,4,4,4
38,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2013-14,OTT,L,53,52,25,16,,8,1680,1530,150,0.911,3,2999:44,4,0,1,1,2
39,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2020-21,WSH,L,4,2,2,1,,0,71,65,6,0.915,2.13,168:44,0,0,0,0,0
40,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2019-20,OTT,L,34,31,11,17,,2,1018,918,100,0.902,3.25,1845:11,0,0,1,1,0
41,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2009-10,COL,L,71,71,38,25,,7,2233,2047,186,0.917,2.63,4235:21,7,0,3,3,16
42,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2007-08,FLA,L,17,13,8,6,,1,535,500,35,0.935,2.25,934:56,2,0,1,1,2
43,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2006-07,FLA,L,5,3,1,1,,1,116,108,8,0.931,2.21,216:53,0,0,0,0,0
44,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2005-06,"CHI,CHI",L,29,21,6,12,,4,757,671,86,0.886,3.32,1553:28,1,0,1,1,14
45,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2008-09,FLA,L,31,27,15,7,,5,977,903,74,0.924,2.71,1635:52,3,0,1,1,2
46,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2012-13,OTT,L,24,24,12,9,,2,677,637,40,0.941,1.69,1420:36,3,0,0,0,0
47,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2015-16,OTT,L,60,60,31,23,,5,1915,1754,161,0.916,2.78,3477:08,4,0,2,2,0
48,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2010-11,"COL,OTT",L,51,49,24,20,,4,1546,1411,135,0.913,2.83,2865:07,2,0,1,1,4
49,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2003-04,CHI,L,21,19,6,14,0,,602,545,57,0.905,2.84,1205:13,1,0,0,0,4
50,Craig Anderson,BUF,L,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,2002-03,N,693,313,268,2,69,42,2017-18,OTT,L,58,55,23,25,,6,1768,1588,180,0.898,3.32,3250:32,2,0,0,0,2
51,Justus Annunen,COL,L,2000-03-11,Kempele,,FIN,FIN,76,210,2018,3,64,2021-22,N,2,1,0,,1,0,2021-22,COL,L,2,1,1,0,,1,51,44,7,0.863,4.34,96:46,0,0,1,1,0
52,Kenneth Appleby,NYI,L,1995-04-10,North Bay,ON,CAN,CAN,77,210,,,,2017-18,N,3,0,1,,0,0,2017-18,NJD,L,3,1,0,1,,0,55,52,3,0.945,1.45,124:20,0,0,0,0,0
53,Tom Askey,,L,1974-10-04,Kenmore,NY,USA,USA,73,206,1993,8,186,1997-98,N,7,0,1,2,,0,1997-98,ANA,L,7,3,0,1,2,,113,101,12,0.894,2.64,272:47,0,0,0,0,0
54,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2003-04,PIT,R,22,17,7,9,0,,574,521,53,0.908,2.98,1067:03,1,0,0,0,2
55,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2007-08,LAK,R,19,12,5,6,,1,385,341,44,0.886,3.19,827:42,0,0,0,0,0
56,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,1999-00,PIT,R,51,48,23,21,3,,1392,1272,120,0.914,2.58,2788:50,2,0,1,1,2
57,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2002-03,PIT,R,21,20,6,13,0,,589,530,59,0.9,3.13,1132:16,1,0,1,1,2
58,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2006-07,TOR,R,20,10,3,5,,2,371,325,46,0.876,3.43,804:19,0,0,0,0,0
59,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2001-02,PIT,R,21,18,3,12,1,,537,472,65,0.879,3.56,1094:18,0,0,0,0,0
60,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,1998-99,PIT,R,17,11,4,3,6,,304,276,28,0.908,2.22,756:15,2,0,0,0,0
61,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2005-06,TOR,R,11,11,9,0,,2,330,305,25,0.924,2.21,677:24,1,0,0,0,0
62,Jean-Sebastien Aubin,,R,1977-07-19,Montréal,QC,CAN,CAN,71,180,1995,3,76,1998-99,N,218,80,83,11,5,7,2000-01,PIT,R,36,35,20,14,1,,973,866,107,0.89,3.13,2050:06,0,0,1,1,4
63,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2001-02,VAN,L,1,1,1,0,0,,22,20,2,0.909,2,59:55,0,0,1,1,0
64,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2011-12,OTT,L,14,8,2,4,,2,310,274,36,0.884,3.35,645:02,0,0,0,0,0
65,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2006-07,FLA,L,27,25,7,13,,5,729,647,82,0.888,3.35,1470:31,1,0,1,1,2
66,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2009-10,"DAL,NYR",L,24,20,9,7,,3,610,546,64,0.895,2.96,1299:29,0,0,2,2,2
67,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2002-03,VAN,L,7,5,3,3,0,,165,155,10,0.939,1.57,382:23,1,0,0,0,0
68,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2008-09,OTT,L,43,38,16,18,,7,1141,1040,101,0.911,2.47,2449:26,1,0,0,0,2
69,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2005-06,VAN,L,67,64,33,26,,6,1938,1749,189,0.902,2.94,3858:55,0,0,2,2,4
70,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2010-11,MTL,L,16,12,6,2,,2,383,350,33,0.914,2.64,748:35,0,0,1,1,2
71,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2003-04,VAN,L,6,5,2,2,2,,168,156,12,0.929,2.06,348:53,0,0,0,0,0
72,Alex Auld,,L,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,2,40,2001-02,N,237,91,88,2,30,6,2007-08,"PHX,BOS",L,32,29,12,13,,5,827,750,77,0.907,2.68,1722:17,3,0,0,0,0
73,David Ayres,,L,1977-08-12,Whitby,ON,CAN,CAN,72,201,,,,2019-20,N,1,1,0,,0,0,2019-20,CAR,L,1,0,1,0,,0,10,8,2,0.8,4.18,28:41,0,0,0,0,0
74,Jason Bacashihua,,L,1982-09-20,Garden City,MI,USA,USA,71,177,2001,1,26,2002-03,N,38,7,17,,4,0,2006-07,STL,L,19,12,3,7,,3,450,403,47,0.896,3.16,893:46,0,0,0,0,2
75,Jason Bacashihua,,L,1982-09-20,Garden City,MI,USA,USA,71,177,2001,1,26,2002-03,N,38,7,17,,4,0,2005-06,STL,L,19,17,4,10,,1,515,463,52,0.899,3.23,966:04,0,0,1,1,0
76,Ryan Bach,,L,1973-10-21,Sherwood Park,AB,CAN,CAN,73,180,1992,11,262,1998-99,N,3,0,3,0,,0,1998-99,LAK,L,3,1,0,3,0,,66,58,8,0.879,4.45,107:46,0,0,0,0,0
77,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2014-15,EDM,L,7,4,3,2,,0,168,153,15,0.911,2.84,316:43,1,0,0,0,0
78,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2016-17,VAN,L,5,5,2,3,,0,162,149,13,0.92,2.64,295:11,0,0,0,0,0
79,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2011-12,DAL,L,18,15,8,5,,1,477,434,43,0.91,2.77,933:05,1,0,1,1,0
80,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2015-16,VAN,L,1,1,1,0,,0,31,28,3,0.903,3.01,59:52,0,0,0,0,0
81,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2010-11,DAL,L,1,0,0,0,,0,4,4,0,1,0,9:35,0,0,0,0,0
82,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2018-19,VAN,L,1,1,0,1,,0,29,23,6,0.793,6,60:00,0,0,0,0,0
83,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2012-13,DAL,L,13,8,6,5,,0,288,255,33,0.885,3.25,608:50,0,0,0,0,0
84,Richard Bachman,,L,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,4,120,2010-11,N,49,20,18,,2,2,2013-14,EDM,L,3,3,0,2,,1,83,76,7,0.916,3.03,138:43,0,0,0,0,0
85,Johan Backlund,,L,1981-07-24,Skellefteå,,SWE,SWE,74,198,,,,2009-10,N,1,0,1,,0,0,2009-10,PHI,L,1,1,0,1,,0,24,22,2,0.917,3,40:00,0,0,0,0,0
86,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2012-13,MIN,L,42,41,24,15,,3,1072,974,98,0.909,2.48,2368:08,2,0,0,0,2
87,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2006-07,MIN,L,41,36,23,8,,6,1028,955,73,0.929,1.97,2226:31,5,0,1,1,2
88,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2007-08,MIN,L,58,57,33,13,,8,1629,1498,131,0.92,2.31,3408:38,4,0,0,0,2
89,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2015-16,CGY,L,4,3,2,2,,0,109,96,13,0.881,3.35,232:43,0,0,0,0,0
90,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2010-11,MIN,L,51,50,22,23,,5,1566,1434,132,0.916,2.66,2977:33,3,0,1,1,2
91,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2013-14,MIN,L,21,19,5,11,,2,546,491,55,0.899,3.02,1094:07,0,0,0,0,0
92,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2014-15,MIN,L,19,14,5,7,,3,452,401,51,0.887,3.05,1004:53,0,0,0,0,2
93,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2009-10,MIN,L,60,58,26,23,,8,1632,1474,158,0.903,2.72,3489:34,2,0,1,1,4
94,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2008-09,MIN,L,71,71,37,24,,8,2059,1900,159,0.923,2.33,4088:03,8,0,0,0,6
95,Niklas Backstrom,,L,1978-02-13,Helsinki,,FIN,FIN,74,192,,,,2006-07,N,413,196,144,,50,28,2011-12,MIN,L,46,45,19,18,,7,1299,1194,105,0.919,2.43,2589:41,4,0,2,2,2
96,Scott Bailey,,L,1972-05-02,Calgary,AB,CAN,CAN,72,195,1992,5,112,1995-96,N,19,6,6,2,,0,1996-97,BOS,L,8,5,1,5,0,,181,157,24,0.867,3.66,393:46,0,0,0,0,0
97,Scott Bailey,,L,1972-05-02,Calgary,AB,CAN,CAN,72,195,1992,5,112,1995-96,N,19,6,6,2,,0,1995-96,BOS,L,11,8,5,1,2,,264,233,31,0.883,3.26,570:57,0,0,0,0,0
98,Mike Bales,,L,1971-08-06,Saskatoon,SK,CAN,CAN,73,180,1990,5,105,1992-93,N,23,2,15,1,,0,1996-97,OTT,L,1,0,0,1,0,,18,14,4,0.778,4.64,51:41,0,0,0,0,0
99,Mike Bales,,L,1971-08-06,Saskatoon,SK,CAN,CAN,73,180,1990,5,105,1992-93,N,23,2,15,1,,0,1995-96,OTT,L,20,16,2,14,1,,560,488,72,0.871,4.15,1040:12,0,0,0,0,2
100,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,2002-03,STL,R,6,6,1,4,0,,132,116,16,0.879,3.27,293:08,1,0,0,0,0
101,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,1998-99,PIT,R,43,43,19,16,3,,993,895,98,0.901,2.55,2306:15,4,0,3,3,20
102,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,1997-98,PIT,R,63,61,31,14,13,,1556,1434,122,0.922,2.07,3542:07,7,0,2,2,14
103,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,1995-96,PIT,R,49,48,29,16,2,,1626,1466,160,0.902,3.43,2799:01,2,0,3,3,18
104,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,2001-02,"CAR,TOR",R,38,35,15,14,5,,996,903,93,0.907,2.62,2126:47,2,0,0,0,4
105,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,1996-97,PIT,R,5,5,0,5,0,,186,160,26,0.86,5.79,269:37,0,0,0,0,0
106,Tom Barrasso,,R,1965-03-31,Boston,MA,USA,USA,75,210,1983,1,5,1983-84,N,443,220,148,48,,25,1999-00,"PIT,OTT",R,25,23,8,11,2,,568,500,68,0.88,3.17,1287:55,1,0,0,0,6
107,Don Beaupre,,L,1961-09-19,Waterloo,ON,CAN,CAN,70,175,1980,2,37,1980-81,N,292,114,130,25,,11,1995-96,"OTT,TOR",L,41,36,6,28,0,,1062,926,136,0.872,3.87,2106:12,1,0,2,2,31
108,Don Beaupre,,L,1961-09-19,Waterloo,ON,CAN,CAN,70,175,1980,2,37,1980-81,N,292,114,130,25,,11,1996-97,TOR,L,3,2,0,3,0,,60,50,10,0.833,5.46,109:58,0,0,0,0,0
109,Chris Beckford-Tseu,,L,1984-06-22,Toronto,ON,CAN,CAN,75,201,2003,5,159,2007-08,N,1,0,0,,0,0,2007-08,STL,L,1,0,0,0,,0,9,8,1,0.889,2.25,26:37,0,0,0,0,0
110,Ed Belfour,,L,1965-04-21,Carman,MB,CAN,CAN,72,214,,,,1988-89,Y,940,480,308,108,14,76,1997-98,DAL,L,61,60,37,12,10,,1335,1223,112,0.916,1.88,3580:49,9,0,0,0,18
111,Ed Belfour,,L,1965-04-21,Carman,MB,CAN,CAN,72,214,,,,1988-89,Y,940,480,308,108,14,76,2005-06,TOR,L,49,49,22,22,,4,1476,1317,159,0.892,3.29,2896:53,0,0,1,1,12
112,Ed Belfour,,L,1965-04-21,Carman,MB,CAN,CAN,72,214,,,,1988-89,Y,940,480,308,108,14,76,1996-97,"CHI,SJS",L,46,45,14,24,6,,1317,1186,131,0.901,2.89,2723:35,2,0,0,0,34
113,Ed Belfour,,L,1965-04-21,Carman,MB,CAN,CAN,72,214,,,,1988-89,Y,940,480,308,108,14,76,2000-01,DAL,L,63,62,35,20,7,,1508,1364,144,0.905,2.34,3687:25,8,0,1,1,4
